product_id,status,trading_disabled,first_daily_candle,days_history,median_30d_volume_usd,quote_increment,min_market_funds_usd
ICNT-USD,online,False,2026-03-25,177,41714.89,0.0001,1
ICP-USD,online,False,2021-05-10,1957,2562429.72,0.0001,1
ILV-USD,online,False,2022-10-13,1436,78094.77,0.0001,1
IMU-USD,online,False,2026-01-22,239,68667.04,0.000001,1
IMX-USD,online,False,2021-12-09,1744,186420.34,0.00001,1
INDEX-USD,online,False,2022-06-09,1562,9958.59,0.0001,1
INJ-USD,online,False,2022-09-20,1459,2495318.43,0.001,1
INV-USD,online,False,2022-01-13,1709,7747.31,0.01,1
INX-USD,online,False,2026-01-30,231,45028.91,0.000001,1
IO-USD,online,False,2024-10-09,709,266286.2,0.00001,1
IOTX-USD,online,False,2021-08-12,1863,46229.6,0.00001,1
IP-USD,online,False,2025-02-13,582,207726.87,0.00001,1
IRYS-USD,online,False,2025-11-25,297,35790.09,0.00001,1
JASMY-USD,online,False,2021-10-07,1807,903674.89,0.00001,1
JITOSOL-USD,online,False,2025-07-24,421,74220.01,0.01,1
JTO-USD,online,False,2023-12-07,1016,866471.99,0.0001,1
JUPITER-USD,online,False,2025-12-09,283,628602.47,0.0001,1
KAIO-USD,online,False,2026-05-06,135,24645.11,0.000001,1
KAITO-USD,online,False,2025-02-20,575,171770.9,0.0001,1
KARRAT-USD,online,False,2024-04-22,879,35504.34,0.00001,1
KAT-USD,online,False,2026-03-18,184,62829.72,0.000001,1
KAVA-USD,online,False,2023-01-19,1338,28499.57,0.0001,1
KERNEL-USD,online,False,2025-04-14,522,24976.24,0.000001,1
KEYCAT-USD,online,False,2025-04-01,535,135459.61,0.000001,1
KITE-USD,online,False,2025-11-03,319,109428.33,0.00001,1
KMNO-USD,online,False,2025-09-11,372,64078.46,0.00001,1
KNC-USD,online,False,2020-02-25,2397,20132.76,0.0001,1
KRL-USD,online,False,2021-11-02,1781,2815.85,0.0001,1
KSM-USD,online,False,2022-06-02,1569,54979.5,0.0001,1
KTA-USD,online,False,2025-10-22,331,295088.7,0.0001,1
L3-USD,online,False,2025-03-27,540,45725.28,0.00001,1
LA-USD,online,False,2025-06-04,471,169348.76,0.00001,1
LAYER-USD,online,False,2025-09-11,372,30341.89,0.00001,1
LCX-USD,online,False,2021-11-02,1781,97612.39,0.0001,1
LDO-USD,online,False,2022-11-17,1401,373935.55,0.00001,1
LIGHTER-USD,online,False,2026-01-15,246,5795190.01,0.001,1
LINEA-USD,online,False,2025-10-09,344,37370.94,0.0000001,1
LINK-USD,online,False,2019-06-27,2640,19511223.17,0.001,1
LMTS-USD,online,False,2026-03-06,196,18440.26,0.00001,1
LPT-USD,online,False,2021-06-24,1912,54087.27,0.0001,1
LQTY-USD,online,False,2022-01-13,1709,13287.77,0.0001,1
LRDS-USD,online,False,2024-07-24,786,22587.51,0.000001,1
LSETH-USD,online,False,2025-11-23,299,31716.35,0.01,1
LTC-USD,online,False,2016-08-17,3684,6854488.69,0.001,1
MAGIC-USD,online,False,2022-12-08,1380,33400.8,0.00001,1
MAMO-USD,online,False,2025-08-06,408,72000.6,0.000001,1
MANA-USD,online,False,2021-04-20,1977,68552.33,0.0001,1
MANTLE-USD,online,False,2025-05-01,505,370907.84,0.0001,1
MASK-USD,online,False,2021-07-15,1891,155607.02,0.00001,1
MATH-USD,online,False,2022-06-22,1549,23322.17,0.0001,1
MDT-USD,online,False,2021-12-09,1744,302731.5,0.00001,1
ME-USD,online,False,2024-12-10,647,62097.97,0.00001,1
MEGA-USD,online,False,2026-04-30,141,295120.21,0.00001,1
MET-USD,online,False,2025-10-23,330,195846.03,0.0001,1
META-USD,online,False,2026-05-28,113,19163.32,0.001,1
METIS-USD,online,False,2022-06-28,1543,46811.73,0.0001,1
MEZO-USD,online,False,2026-04-01,170,51519.13,0.000001,1
MINA-USD,online,False,2022-04-06,1626,141870.4,0.0001,1
MKR-USD,delisted,True,2025-11-23,299,,0.01,1
